English,Kannada
ashriteshu,ಆಶ್ರಿತೇಷು
prastabhoomiya,ಪ್ರಸ್ತಭೂಮಿಯ
manewad,ಮನೆವಾಡ್
vihwala,ವಿಹ್ವಲ
bhavaneyalla,ಭಾವನೆಯಲ್ಲ
sarkozy,ಸರ್ಕೋಜಿ
nangelli,ನಂಗೆಲ್ಲಿ
pariganisalagta,ಪರಿಗಣಿಸಲಾಗ್ತಾ
padedukollabaaradendare,ಪಡೆದುಕೊಳ್ಳಬಾರದೆಂದರೆ
tantragalenu,ತಂತ್ರಗಳೇನು
kooguta,ಕೂಗುತ
sangrahavannashte,ಸಂಗ್ರಹವನ್ನಷ್ಟೇ
nandadindave,ನಂದದಿಂದವೆ
jinapage,ಜಿನಪಗೆ
marukalisakoodadu,ಮರುಕಳಿಸಕೂಡದು
kulavennuvudu,ಕುಲವೆನ್ನುವುದು
aitak,ಐಟಕ್
lingaratigalu,ಲಿಂಗರತಿಗಳು
horadiri,ಹೋರಾಡಿರಿ
ottaayada,ಒತ್ತಾಯದ
salavendu,ಸಲವೆಂದು
chooruchooraadantaayitu,ಚೂರುಚೂರಾದಂತಾಯಿತು
dhuradinde,ಧುರದಿಂದೆ
hadeyutta,ಹಡೆಯುತ್ತಾ
bandhubalagavellava,ಬಂಧುಬಳಗವೆಲ್ಲವ
mottadantiruva,ಮೊತ್ತದಂತಿರುವ
shaantanaagu,ಶಾಂತನಾಗು
kainalliyaadru,ಕೈನಲ್ಲಿಯಾದ್ರೂ
badjarigarh,ಬಡ್ಜರಿಗಾರ್
maratigaralli,ಮರಾಟಿಗರಲ್ಲಿ
subhradagolisalu,ಸುಭ್ರದಗೊಳಿಸಲು
pradarshisuvallina,ಪ್ರದರ್ಶಿಸುವಲ್ಲಿನ
hapifathers,ಹ್ಯಾಪಿಫಾದರ್ಸ್
saripadisuttaaro,ಸರಿಪಡಿಸುತ್ತಾರೊ
parvatake,ಪರ್ವತಕೆ
namavisheshana,ನಾಮವಿಶೇಷಣ
aavartakoshtakadalli,ಆವರ್ತಕೋಷ್ಟಕದಲ್ಲಿ
bahusankhyaru,ಬಹುಸಂಖ್ಯಾರು
sibigintaloo,ಸಿಬಿಗಿಂತಲೂ
nanagitto,ನನಗಿತ್ತೋ
vismayavenisuva,ವಿಸ್ಮಯವೆನಿಸುವ
vio,ವಿಯೊ
nudiyaleke,ನುಡಿಯಲೇಕೆ
antaragalilla,ಅಂತರಗಳಿಲ್ಲ
eetanindaagiye,ಈತನಿಂದಾಗಿಯೇ
gattalahalli,ಗಟ್ಟಲಹಳ್ಳಿ
sadasyeyante,ಸದಸ್ಯೆಯಂತೆ
holaagide,ಹೊಳಾಗಿದೆ
renukacharyanantaha,ರೇಣುಕಾಚಾರ್ಯನಂತಹ
monikaadalliruva,ಮೋನಿಕಾದಲ್ಲಿರುವ
hanedukondu,ಹಣೆದುಕೊಂಡು
badalaavanegalaagabahude,ಬದಲಾವಣೆಗಳಾಗಬಹುದೇ
kshameyachisuva,ಕ್ಷಮೆಯಾಚಿಸುವ
prayanikanigoo,ಪ್ರಯಾಣಿಕನಿಗೂ
galden,ಗಾಲ್ಡನ್
aushadhigalannellaa,ಔಷಧಿಗಳನ್ನೆಲ್ಲಾ
maadisaliddu,ಮಾಡಿಸಲಿದ್ದು
kaggadasanapurada,ಕಗ್ಗದಾಸನಪುರದ
kanishthavaagiruttade,ಕನಿಷ್ಠವಾಗಿರುತ್ತದೆ
molakeyodeyadantaha,ಮೊಳಕೆಯೊಡೆಯದಂತಹ
aralimaradatta,ಅರಳಿಮರದತ್ತ
balasuvudanne,ಬಳಸುವುದನ್ನೇ
vyanjakateyinda,ವ್ಯಂಜಕತೆಯಿಂದ
aahvaanisalpattide,ಆಹ್ವಾನಿಸಲ್ಪಟ್ಟಿದೆ
bavakhanavara,ಬಾವಾಖಾನವರ
arjigalige,ಅರ್ಜಿಗಳಿಗೆ
ecchelmegaad,ಎಚ್ಚೆಲ್ಮೆಗಾದ್
sushraavyadinda,ಸುಶ್ರಾವ್ಯದಿಂದ
pandikkad,ಪಂಡಿಕ್ಕಾಡ್
badalavaneyannuntu,ಬದಲಾವಣೆಯನ್ನುಂಟು
faridia,ಫರೀದಿಯಾ
mahalakshmammanavaru,ಮಹಾಲಕ್ಷ್ಮಮ್ಮನವರು
billannagi,ಬಿಲ್ಲನ್ನಾಗಿ
southerland,ಸೌಥರ್ಲ್ಯಾಂಡ್
bandudam,ಬಂದುದಂ
machchetty,ಮಚ್ಚೆಟ್ಟಿ
ariyuvudakke,ಅರಿಯುವುದಕ್ಕೆ
moulyagalannoo,ಮೌಲ್ಯಗಳನ್ನೂ
hinavalla,ಹೀನವಲ್ಲ
vaasanerahita,ವಾಸನೆರಹಿತ
mishranavagabahudaada,ಮಿಶ್ರಣವಾಗಬಹುದಾದ
rachanaakaalavannu,ರಚನಾಕಾಲವನ್ನು
nimmadiya,ನಿಮ್ಮಡಿಯಾ
viniyamakkoo,ವಿನಿಯಮಕ್ಕೂ
mugumeru,ಮುಗುಮೇರು
tyajisidavaru,ತ್ಯಜಿಸಿದವರೂ
ederisuva,ಈಡೇರಿಸುವ
kippur,ಕಿಪ್ಪುರ್
aatankitanaagidda,ಆತಂಕಿತನಾಗಿದ್ದ
karanaraddare,ಕಾರಣರಾದ್ದಾರೆ
shaharada,ಶಹರದ
kaledubiduve,ಕಳೆದುಬಿಡುವೆ
lakshye,ಲಕ್ಷ್ಯೆ
priyatirtharige,ಪ್ರಿಯತೀರ್ಥರಿಗೆ
heggadadevanakoteyinda,ಹೆಗ್ಗಡದೇವನಕೋಟೆಯಿಂದ
adhvaanagondittu,ಅಧ್ವಾನಗೊಂಡಿತ್ತು
tattitendu,ತಟ್ಟಿತೆಂದು
ashland,ಆಶ್ಲ್ಯಾಂಡ್
epipremnum,ಎಪಿಪ್ರೆಮ್ನಮ್
srushtisalo,ಸೃಷ್ಟಿಸಲೋ
bhurachanashastra,ಭೂರಚನಶಾಸ್ತ್ರ
pulvers,ಪುಲ್ವರ್ಸ್
naajookaaguttave,ನಾಜೂಕಾಗುತ್ತವೆ
vaguttidda,ವಾಗುತ್ತಿದ್ದ
tirikondiddanu,ತೀರಿಕೊಂಡಿದ್ದನು
veediyogalillade,ವೀಡಿಯೊಗಳಿಲ್ಲದೆ
berihudu,ಬೇರಿಹುದು
maanavaralloo,ಮಾನವರಲ್ಲೂ
hallaaguva,ಹಲ್ಲಾಗುವ
hidisilla,ಹಿಡಿಸಿಲ್ಲ
rasagobbaravilla,ರಸಗೊಬ್ಬರವಿಲ್ಲ
yatnaveega,ಯತ್ನವೀಗ
satyavagirabahudu,ಸತ್ಯವಾಗಿರಬಹುದು
hinduyukta,ಹಿಂದೂಯುಕ್ತ
neria,ನೇರಿಯಾ
shivamoggadaadyanta,ಶಿವಮೊಗ್ಗದಾದ್ಯಂತ
havidda,ಹಾವಿದ್ದ
hejjeyidabekendu,ಹೆಜ್ಜೆಯಿಡಬೇಕೆಂದು
kadaburu,ಕಡಬೂರು
susthiravagirabekadare,ಸುಸ್ಥಿರವಾಗಿರಬೇಕಾದರೆ
charcheyagiye,ಚರ್ಚೆಯಾಗಿಯೇ
shariravanne,ಶರೀರವನ್ನೇ
hinneleyalliyaadru,ಹಿನ್ನೆಲೆಯಲ್ಲಿಯಾದ್ರೂ
pragnaaroopavaada,ಪ್ರಜ್ಞಾರೂಪವಾದ
barediruvudarinda,ಬರೆದಿರುವುದರಿಂದ
parihaaradhanavaagi,ಪರಿಹಾರಧನವಾಗಿ
charlatonnara,ಚಾರ್ಲಾಟನ್ನರ
matrupremakke,ಮಾತೃಪ್ರೇಮಕ್ಕೆ
aayarvedada,ಆಯರ್ವೇದದ
chikkamarayya,ಚಿಕ್ಕಮಾರಯ್ಯ
klinikgalannu,ಕ್ಲಿನಿಕ್ಗಳನ್ನು
illadavarendare,ಇಲ್ಲದವರೆಂದರೆ
makwan,ಮಾಕ್ವಾನ್
nintrisuttade,ನಿಂತ್ರಿಸುತ್ತದೆ
padisiruvavaru,ಪಡಿಸಿರುವವರೂ
lokadolalu,ಲೋಕದೊಳಲು
kairuchiginta,ಕೈರುಚಿಗಿಂತ
sundaravagiddaro,ಸುಂದರವಾಗಿದ್ದರೋ
heptatholon,ಹೆಪ್ಟಾಥೊಲಾನ್
chadapadisuttidda,ಚಡಪಡಿಸುತ್ತಿದ್ದ
japaninodane,ಜಪಾನಿನೊಡನೆ
prashnegaleluttive,ಪ್ರಶ್ನೆಗಳೇಳುತ್ತಿವೆ
maryadeye,ಮರ್ಯಾದೆಯೇ
mallanakuppe,ಮಲ್ಲನಕುಪ್ಪೆ
prayojitave,ಪ್ರಾಯೋಜಿತವೇ
nillisalebaaradu,ನಿಲ್ಲಿಸಲೇಬಾರದು
mattahaakuvudaagi,ಮಟ್ಟಹಾಕುವುದಾಗಿ
jarididdavu,ಜರಿದಿದ್ದವು
gundalaga,ಗುಂಡಾಲಾಗ
dhyeyalli,ಧ್ಯೆಯಲ್ಲಿ
ttatege,ತ್ತತೆಗೆ
aatorikshaadallidda,ಆಟೋರಿಕ್ಷಾದಲ್ಲಿದ್ದ
kelaguruluvudu,ಕೆಳಗುರುಳುವುದು
inches,ಇಂಚಸ್
ellsburg,ಎಲ್ಲ್ಸ್ಬರ್ಗ್
samsdheyalli,ಸಂಸ್ಧೆಯಲ್ಲಿ
himapaatavaaguttiddaru,ಹಿಮಪಾತವಾಗುತ್ತಿದ್ದರೂ
rajaya,ರಾಜಯ
vyarthagolisuvudilla,ವ್ಯರ್ಥಗೊಳಿಸುವುದಿಲ್ಲ
madidarallave,ಮಾಡಿದರಲ್ಲವೇ
siddhagondittu,ಸಿದ್ಧಗೊಂಡಿತ್ತು
baruttiralva,ಬರುತ್ತಿರಲ್ವಾ
nimmugala,ನಿಮ್ಮುಗಳ
mantramandala,ಮಂತ್ರಮಂಡಳ
siriyindale,ಸಿರಿಯಿಂದಲೇ
matayi,ಮಾತಾಯಿ
harikaaranendoo,ಹರಿಕಾರನೆಂದೂ
dulmi,ದುಲ್ಮಿ
drore,ಡ್ರೋರ್
sthalaantaragolisalu,ಸ್ಥಳಾಂತರಗೊಳಿಸಲು
niraashavaadakke,ನಿರಾಶವಾದಕ್ಕೆ
katheria,ಕಟಾರಿಯಾ
shukrarige,ಶುಕ್ರರಿಗೆ
avarallada,ಅವರಲ್ಲದ
malayam,ಮಲಾಯಂ
hesarillave,ಹೆಸರಿಲ್ಲವೇ
kaigavasugalallina,ಕೈಗವಸುಗಳಲ್ಲಿನ
tiruginodiddaare,ತಿರುಗಿನೋಡಿದ್ದಾರೆ
kaddili,ಕದ್ದಿಲಿ
kaaranavaagirabahudendu,ಕಾರಣವಾಗಿರಬಹುದೆಂದು
classroomnalli,ಕ್ಲಾಸ್ರೂಮ್ನಲ್ಲಿ
dargaadinda,ದರ್ಗಾದಿಂದ
campier,ಕ್ಯಾಂಪಿಯರ್
badukisibitta,ಬದುಕಿಸಿಬಿಟ್ಟ
askot,ಅಸ್ಕೋಟ್
kshetrakkaada,ಕ್ಷೇತ್ರಕ್ಕಾದ
urvashiye,ಊರ್ವಶಿಯೆ
majjigeyolagina,ಮಜ್ಜಿಗೆಯೊಳಗಿನ
bhaaba,ಭಾಬ
beesuttiddanu,ಬೀಸುತ್ತಿದ್ದನು
dvanisuttade,ದ್ವನಿಸುತ್ತದೆ
tarjumeyaagiddu,ತರ್ಜುಮೆಯಾಗಿದ್ದು
vastuvannettikondu,ವಸ್ತುವನ್ನೆತ್ತಿಕೊಂಡು
madhyamagaligekishtu,ಮಾಧ್ಯಮಗಳಿಗೇಕಿಷ್ಟು
olleyadenannu,ಒಳ್ಳೆಯದೇನನ್ನು
muvchez,ಮುವ್ಚೆಜ್
kodisidavarannu,ಕೊಡಿಸಿದವರನ್ನು
mochis,ಮೊಚಿಸ್
spandisabekemba,ಸ್ಪಂದಿಸಬೇಕೇಂಬ
snaanaghattavide,ಸ್ನಾನಘಟ್ಟವಿದೆ
sevyanagi,ಸೇವ್ಯನಾಗಿ
sthithyantaragollalu,ಸ್ಥಿತ್ಯಂತರಗೊಳ್ಳಲು
kalakaliyullantaha,ಕಳಕಳಿಯುಳ್ಳಂತಹ
kendrikarisaballadu,ಕೇಂದ್ರೀಕರಿಸಬಲ್ಲದು
mandamatiyanu,ಮಂದಮತಿಯನು
soppinamalli,ಸೊಪ್ಪಿನಮಲ್ಲಿ
kelasakkeega,ಕೆಲಸಕ್ಕೀಗ
komuvadakke,ಕೋಮುವಾದಕ್ಕೆ
prabhavaddagide,ಪ್ರಭಾವದ್ದಾಗಿದೆ
mikkavarigaagi,ಮಿಕ್ಕವರಿಗಾಗಿ
onagisikondidda,ಒಣಗಿಸಿಕೊಂಡಿದ್ದ
kelibandaganindaloo,ಕೇಳಿಬಂದಾಗನಿಂದಲೂ
chithranaviruvudilla,ಚಿತ್ರಣವಿರುವುದಿಲ್ಲ
bilukul,ಬಿಲುಕುಲ್
upekshisabekada,ಉಪೇಕ್ಷಿಸಬೇಕಾದ
dharmavannagisikonda,ಧರ್ಮವನ್ನಾಗಿಸಿಕೊಂಡ
shohan,ಶೋಹನ್
bichchadiruvudu,ಬಿಚ್ಚದಿರುವುದು
ivaaginavaregoo,ಇವಾಗಿನವರೆಗೂ
andraskar,ಅಂದ್ರಸ್ಕಾರ್
hastelninda,ಹಾಸ್ಟೆಲ್ನಿಂದ
flygalu,ಫ್ಲೈಗಳು
ragagalondige,ರಾಗಗಳೊಂದಿಗೆ
hisukta,ಹಿಸುಕ್ತ
americadalliddene,ಅಮೆರಿಕಾದಲ್ಲಿದ್ದೇನೆ
aaneyondittu,ಆನೆಯೊಂದಿತ್ತು
nilekaniyavarannu,ನೀಲೇಕಣಿಯವರನ್ನು
prastapisatodagiddu,ಪ್ರಸ್ತಾಪಿಸತೊಡಗಿದ್ದು
anandadhvani,ಆನಂದಧ್ವನಿ
sambandhapattashiksakara,ಸಂಬಂಧಪಟ್ಟಶಿಕ್ಷಕರ
madadavaragiddare,ಮಾಡದವರಾಗಿದ್ದಾರೆ
aashirvachanagalinda,ಆಶೀರ್ವಚನಗಳಿಂದ
luffel,ಲುಫೆಲ್
vishayanishta,ವಿಷಯನಿಷ್ಠ
brevgalige,ಬ್ರೇವ್ಗಳಿಗೆ
baalabaaradeke,ಬಾಳಬಾರದೇಕೆ
sambhasiruva,ಸಂಭಸಿರುವ
kartavyaangavaagi,ಕರ್ತವ್ಯಾಂಗವಾಗಿ
braceletnalli,ಬ್ರೇಸ್ಲೆಟ್ನಲ್ಲಿ
viphalagolisuvaga,ವಿಫಲಗೊಳಿಸುವಾಗ
khalko,ಖಾಲ್ಕೊ
diseyalle,ದಿಸೆಯಲ್ಲೆ
jajeja,ಜಜೇಜಾ
suruda,ಸುರುದ
maahitiyinda,ಮಾಹಿತಿಯಿಂದ
eseyuvudaadaroo,ಎಸೆಯುವುದಾದರೂ
aakarshisuvavaraagiddare,ಆಕರ್ಷಿಸುವವರಾಗಿದ್ದರೆ
prakriyegaliveyadaru,ಪ್ರಕ್ರಿಯೆಗಳಿವೆಯಾದರೂ
sannakatheyondannu,ಸಣ್ಣಕಥೆಯೊಂದನ್ನು
sayalarambhisiddare,ಸಾಯಲಾರಂಭಿಸಿದ್ದಾರೆ
nadumadyaanada,ನಡುಮದ್ಯಾನದ
gadavagalu,ಗಡವಗಳು
adaraddaada,ಅದರದ್ದಾದ
tevamshakaraka,ತೇವಾಂಶಕಾರಕ
kalakarank,ಕಲಾಕಾರಾಂಕ್
hottageyannoo,ಹೊತ್ತಗೆಯನ್ನೂ
samvedanaasheelateyillade,ಸಂವೇದನಾಶೀಲತೆಯಿಲ್ಲದೆ
saamantanaagi,ಸಾಮಂತನಾಗಿ
nenigeridare,ನೇಣಿಗೇರಿದರೆ
tirikondavaru,ತೀರಿಕೊಂಡವರು
kangolisutiraladigadige,ಕಂಗೊಳಿಸುತಿರಲಡಿಗಡಿಗೆ
munimu,ಮುನಿಮು
uruhodesalaguttide,ಉರುಹೊಡೆಸಲಾಗುತ್ತಿದೆ
pradeshavenda,ಪ್ರದೇಶವೆಂದ
anchikatteyalli,ಅಂಚಿಕಟ್ಟೆಯಲ್ಲಿ
hennumakkaligiruva,ಹೆಣ್ಣುಮಕ್ಕಳಿಗಿರುವ
bapparagi,ಬಪ್ಪರಗಿ
sahasradaladapondaavareya,ಸಹಸ್ರದಳದಪೊಂದಾವರೆಯ
japtiyaadare,ಜಪ್ತಿಯಾದರೆ
pathavagalilla,ಪಾಠವಾಗಲಿಲ್ಲ
sikkiso,ಸಿಕ್ಕಿಸೊ
gayavondannu,ಗಾಯವೊಂದನ್ನು
kadimeyaguvatta,ಕಡಿಮೆಯಾಗುವತ್ತ
raajakaaranavillada,ರಾಜಕಾರಣವಿಲ್ಲದ
nerang,ನೆರಂಗ್
havyaasakkondu,ಹವ್ಯಾಸಕ್ಕೊಂದು
hunjanu,ಹುಂಜನು
revelution,ರೆವೆಲ್ಯೂಷನ್
albicon,ಅಲ್ಬಿಕಾನ್
lakshminarayanan,ಲಕ್ಷ್ಮಿನಾರಾಯಣನ್
utpannavaguvude,ಉತ್ಪನ್ನವಾಗುವುದೇ
theaterondakke,ಥಿಯೇಟರೊಂದಕ್ಕೆ
maragolu,ಮರಗೋಳು
hogidduvu,ಹೋಗಿದ್ದುವು
adakyara,ಅದಕ್ಯಾರ
sarreyannu,ಸರ್ರೆಯನ್ನು
pradeshadallidde,ಪ್ರದೇಶದಲ್ಲಿದ್ದೆ
sampanneya,ಸಂಪನ್ನೆಯ
prathamaasakti,ಪ್ರಥಮಾಸಕ್ತಿ
gojamotte,ಗೊಜಮೊಟ್ಟೆ
mereyuvudakkalla,ಮೆರೆಯುವುದಕ್ಕಲ್ಲ
hudugiyaribbarige,ಹುಡುಗಿಯರಿಬ್ಬರಿಗೆ
konekshanagalannu,ಕೊನೆಕ್ಷಣಗಳನ್ನು
atikramisuttiddare,ಅತಿಕ್ರಮಿಸುತ್ತಿದ್ದರೆ
joligeyolakke,ಜೋಳಿಗೆಯೊಳಕ್ಕೆ
jayaprakaash,ಜಯಪ್ರಕಾಶ್
pulkeya,ಪುಲ್ಕೆಯ
tevakaarakavannoo,ತೇವಕಾರಕವನ್ನೂ
kannadia,ಕನ್ನಡಿಯಾ
nagarikanavarege,ನಾಗರಿಕನವರೆಗೆ
doshamuktateya,ದೋಷಮುಕ್ತತೆಯ
heterosyclic,ಹೆಟರೊಸಿಕ್ಲಿಕ್
aarogyavannuntu,ಆರೋಗ್ಯವನ್ನುಂಟು
bandavanemba,ಬಂದವನೆಂಬ
komalavadaga,ಕೋಮಲವಾದಾಗ
dryden,ಡ್ರೈಡನ್
aadikeshavanige,ಆದಿಕೇಶವನಿಗೆ
yaratta,ಯರತ್ತ
avnage,ಅವ್ನಗೆ
najibullah,ನಜಿಬುಲ್ಲಾ
neneyalirisi,ನೆನೆಯಲಿರಿಸಿ
munigalaada,ಮುನಿಗಳಾದ
abhivraddhiyaagiruvaaga,ಅಭಿವೃದ್ಧಿಯಾಗಿರುವಾಗ
darale,ದರಲೆ
roskildnalli,ರೋಸ್ಕಿಲ್ಡ್ನಲ್ಲಿ
dorakuttiddaru,ದೊರಕುತ್ತಿದ್ದರು
kaptargalannu,ಕಾಪ್ಟರ್ಗಳನ್ನು
debhara,ದೇಭರ
suktavaagiruvudaagi,ಸೂಕ್ತವಾಗಿರುವುದಾಗಿ
mimbro,ಮಿಂಬ್ರೋ
vishaadaneeyavaadudu,ವಿಷಾದನೀಯವಾದುದು
intahavaranna,ಇಂತಹವರನ್ನ
macchugalella,ಮಚ್ಚುಗಳೆಲ್ಲ
udyogigalatta,ಉದ್ಯೋಗಿಗಳತ್ತ
oppadanda,ಒಪ್ಪದಂದ
eccharaviralilla,ಎಚ್ಚರವಿರಲಿಲ್ಲ
dasrikoppa,ದಾಸ್ರಿಕೊಪ್ಪ
giancarlo,ಜಿಯಾಂಕಾರ್ಲೊ
soujanyavilla,ಸೌಜನ್ಯವಿಲ್ಲ
kelidraatu,ಕೇಳಿದ್ರಾತು
vulloreyanella,ವುಲ್ಲೊರೆಯನೆಲ್ಲ
tawalchya,ತವಳ್ಚ್ಯಾ
bhagayagiddare,ಭಾಗಯಾಗಿದ್ದಾರೆ
harender,ಹರೇಂದರ್
boliyu,ಬೋಲಿಯು
khasaayikhaaneyalli,ಖಸಾಯಿಖಾನೆಯಲ್ಲಿ
glosnevin,ಗ್ಲಾಸ್ನೆವಿನ್
santoshanaddu,ಸಂತೋಷನದ್ದು
katheyillade,ಕಥೆಯಿಲ್ಲದೆ
kedakuttaale,ಕೆದಕುತ್ತಾಳೆ
siddhavagideye,ಸಿದ್ಧವಾಗಿದೆಯೆ
gouriyaddu,ಗೌರಿಯದ್ದು
reshagalondige,ರೇಷಗಳೊಂದಿಗೆ
khajamodina,ಖಾಜಾಮೋದಿನ
pooraikedaararanteye,ಪೂರೈಕೆದಾರರಂತೆಯೇ
seeldararu,ಸೀಲ್ದಾರರು
bayalumaadabahudu,ಬಯಲುಮಾಡಬಹುದು
telisuttaane,ತೇಲಿಸುತ್ತಾನೆ
manushyaneke,ಮನುಷ್ಯನೇಕೆ
aagnaadhikaariyaagidda,ಆಜ್ಞಾಧಿಕಾರಿಯಾಗಿದ್ದ
huchchaatagalige,ಹುಚ್ಚಾಟಗಳಿಗೆ
kattamastaada,ಕಟ್ಟಮಸ್ತಾದ
bascoo,ಬಾಸ್ಕೂ
balapakke,ಬಲಪಕ್ಕೆ
naguvinallondu,ನಗುವಿನಲ್ಲೊಂದು
pritisutteve,ಪ್ರೀತಿಸುತ್ತೇವೆ
revatiyavarondige,ರೇವತಿಯವರೊಂದಿಗೆ
tattalaaravu,ತಟ್ಟಲಾರವು
binnahisalu,ಬಿನ್ನಹಿಸಲು
boretto,ಬೊರೆಟ್ಟೊ
shaktikendragalagabeku,ಶಕ್ತಿಕೇಂದ್ರಗಳಾಗಬೇಕು
bhittarisiruvudu,ಭಿತ್ತರಿಸಿರುವುದು
vyaktipradhaana,ವ್ಯಕ್ತಿಪ್ರಧಾನ
puritanism,ಪ್ಯೂರಿಟನಿಸಮ್
bembalisuttareye,ಬೆಂಬಲಿಸುತ್ತಾರೆಯೇ
avalilde,ಅವಳಿಲ್ದೇ
muz,ಮುಜ್
telegraphgagy,ಟೆಲಿಗ್ರಾಫ್ಗಾಗಿ
ishtam,ಇಷ್ಟಮ್
adje,ಆಡ್ಜೆ
ghanateyannalla,ಘನತೆಯನ್ನಲ್ಲ
sotiddavarige,ಸೋತಿದ್ದವರಿಗೆ
baalisalu,ಬಾಳಿಸಲು
olabaagilininda,ಒಳಬಾಗಿಲಿನಿಂದ
alanahalli,ಆಲನಹಳ್ಳಿ
dumbunani,ದುಂಬುನಾನಿ
guntli,ಗುಂತ್ಲಿ
madtal,ಮಾಡ್ತಾಳ್
rediyaguttare,ರೆಡಿಯಾಗುತ್ತಾರೆ
sangrahisabahudaagittu,ಸಂಗ್ರಹಿಸಬಹುದಾಗಿತ್ತು
begtse,ಬೆಗ್ಟ್ಸೆ
maximise,ಮ್ಯಾಕ್ಸಿಮೈಸ್
sacroiac,ಸ್ಯಾಕ್ರೊಯಿಯಾಕ್
bhoobhaagavannella,ಭೂಭಾಗವನ್ನೆಲ್ಲ
bhartaria,ಭರ್ತಾರಿಯಾ
patrakartakartara,ಪತ್ರಕರ್ತಕರ್ತರ
nimmadagirabeku,ನಿಮ್ಮದಾಗಿರಬೇಕು
parichaarakadalli,ಪರಿಚಾರಕದಲ್ಲಿ
uttarisuttiddante,ಉತ್ತರಿಸುತ್ತಿದ್ದಂತೆ
utpatsyatesti,ಉತ್ಪತ್ಸ್ಯತೇಸ್ತಿ
valkaneekarisida,ವಲ್ಕನೀಕರಿಸಿದ
ilimukhavaadeetu,ಇಳಿಮುಖವಾದೀತು
pladav,ಪ್ಲಾಡವ್
pisuguttuvudannu,ಪಿಸುಗುಟ್ಟುವುದನ್ನು
nodalarambhisitu,ನೋಡಲಾರಂಭಿಸಿತು
punarvimarshisi,ಪುನರ್ವಿಮರ್ಶಿಸಿ
mattenaksalaru,ಮತ್ತೆನಕ್ಸಲರು
suhlaadana,ಸುಹ್ಲಾದನ
rogalakshanagale,ರೋಗಲಕ್ಷಣಗಳೆ
bayalane,ಬಯಲನೇ
kooligintaloo,ಕೋಲಿಗಿಂತಲೂ
maghada,ಮಾಘದ
nirerevaga,ನೀರೆರೆವಾಗ
piligegondu,ಪೀಳಿಗೆಗೊಂದು
sravisuvudilla,ಸ್ರವಿಸುವುದಿಲ್ಲ
mrugalayajanya,ಮೃಗಾಲಯಜನ್ಯ
fahdat,ಫಹದತ್
baddiyaguttade,ಬಡ್ಡಿಯಾಗುತ್ತದೆ
bratislavada,ಬ್ರಾಟಿಸ್ಲಾವಾದ
vimukharaguvavaru,ವಿಮುಖರಾಗುವವರು
gurmaji,ಗುರ್ಮಾಜಿ
nindisutteve,ನಿಂದಿಸುತ್ತೇವೆ
paliyulikeyantiruva,ಪಳಿಯುಳಿಕೆಯಂತಿರುವ
saarvabhoumatvavulla,ಸಾರ್ವಭೌಮತ್ವವುಳ್ಳ
osigaagi,ಓಸಿಗಾಗಿ
kadechurinalli,ಕಡೇಚೂರಿನಲ್ಲಿ
suddipatrikegella,ಸುದ್ದಿಪತ್ರಿಕೆಗೆಲ್ಲ
vaishyottamam,ವೈಶ್ಯೋತ್ತಮಂ
praniyagiro,ಪ್ರಾಣಿಯಾಗಿರೋ
agatyaruva,ಅಗತ್ಯರುವ
siddarirabeku,ಸಿದ್ದರಿರಬೇಕು
kriyamantra,ಕ್ರಿಯಾಮಂತ್ರ
kundagaligoo,ಕುಂಡಗಳಿಗೂ
ulidukoltidda,ಉಳಿದುಕೊಳ್ತಿದ್ದ
komalagatra,ಕೋಮಲಗಾತ್ರ
naitikavembante,ನೈತಿಕವೆಂಬಂತೆ
vasthavaamshagalannu,ವಾಸ್ತವಾಂಶಗಳನ್ನು
vashavaagada,ವಶವಾಗದ
srushtisalpatta,ಸೃಷ್ಠಿಸಲ್ಪಟ್ಟ
jassur,ಜಸ್ಸೂರ್
