English,Kannada
matanaadisalu,ಮತನಾಡಿಸಲು
erikeyagadiddalli,ಏರಿಕೆಯಾಗದಿದ್ದಲ್ಲಿ
andhragalinda,ಆಂಧ್ರಗಳಿಂದ
saviyabahudaagiddu,ಸವಿಯಬಹುದಾಗಿದ್ದು
nadenudigalalli,ನಡೆನುಡಿಗಳಲ್ಲಿ
kaichachuvavaru,ಕೈಚಾಚುವವರು
nishyabdavaagiri,ನಿಶ್ಯಬ್ದವಾಗಿರಿ
pipavav,ಪಿಪವಾವ್
shaakhotpaadakagalinda,ಶಾಖೋತ್ಪಾದಕಗಳಿಂದ
sandaayavannoo,ಸಂದಾಯವನ್ನೂ
baruvantive,ಬರುವಂತಿವೆ
eduraaliyavaru,ಎದುರಾಳಿಯವರು
samudaayavaadigalige,ಸಮುದಾಯವಾದಿಗಳಿಗೆ
aatavaadisiddaru,ಆಟವಾಡಿಸಿದ್ದರು
gnanavardhaneya,ಜ್ಞಾನವರ್ಧನೆಯ
kaaryaarambhisidda,ಕಾರ್ಯಾರಂಭಿಸಿದ್ದ
hogaluvikeyalle,ಹೊಗಳುವಿಕೆಯಲ್ಲೇ
chitranodale,ಚಿತ್ರನೋಡಲೇ
kandodane,ಕಂಡೊಡನೆ
habbuttalide,ಹಬ್ಬುತ್ತಲಿದೆ
chellatu,ಚೆಲ್ಲತು
gente,ಜೆಂಟೆ
pradarshanakalegala,ಪ್ರದರ್ಶನಕಲೆಗಳ
mahabdhiyatreyanidam,ಮಹಾಬ್ಧಿಯಾತ್ರೆಯನಿದಂ
inchugalaagiruttade,ಇಂಚುಗಳಾಗಿರುತ್ತದೆ
bagidduvu,ಬಾಗಿದ್ದುವು
batoot,ಬಟೂಟ್
echchariddaaga,ಎಚ್ಚರಿದ್ದಾಗ
palagisuve,ಪಳಗಿಸುವೆ
hattiravella,ಹತ್ತಿರವೆಲ್ಲ
banavige,ಬಣವಿಗೆ
bannabalidukondu,ಬಣ್ಣಬಳಿದುಕೊಂಡು
natyalayagalannu,ನಾಟ್ಯಾಲಯಗಳನ್ನು
dominate,ಡಾಮಿನೆಟ್
rakshanodyama,ರಕ್ಷಣೋದ್ಯಮ
kondiyagiddu,ಕೊಂಡಿಯಾಗಿದ್ದು
sthaladallirade,ಸ್ಥಳದಲ್ಲಿರದೆ
bhaashegalallaadare,ಭಾಷೆಗಳಲ್ಲಾದರೆ
minchidru,ಮಿಂಚಿದ್ರು
govgalu,ಗೋವ್ಗಳು
pharmacotherapis,ಫಾರ್ಮಾಕೊಥೆರಪಿಸ್
poornagollalla,ಪೂರ್ಣಗೊಳ್ಳಲ್ಲ
nambabahudittu,ನಂಬಬಹುದಿತ್ತು
aafisinalidda,ಆಫೀಸಿನಲಿದ್ದ
anukulaviralilla,ಅನುಕೂಲವಿರಲಿಲ್ಲ
chaukaaravaagi,ಚೌಕಾರವಾಗಿ
kodin,ಕೋಡಿನ್
janapriyateyonde,ಜನಪ್ರಿಯತೆಯೊಂದೇ
kanberagugolisi,ಕಣ್ಬೆರಗುಗೊಳಿಸಿ
ettangadiyaagaliruva,ಎತ್ತಂಗಡಿಯಾಗಲಿರುವ
badalaagtiddaane,ಬದಲಾಗ್ತಿದ್ದಾನೆ
shisten,ಶಿಸ್ತೆನ್
calendernallide,ಕ್ಯಾಲೆಂಡರ್ನಲ್ಲಿದೆ
antaramukha,ಅಂತರಮುಖ
util,ಯುಟಿಲ್
harshana,ಹರ್ಷನಾ
moolavondannu,ಮೂಲವೊಂದನ್ನು
siddhalaagiddaare,ಸಿದ್ಧಳಾಗಿದ್ದಾರೆ
fluker,ಫ್ಲೂಕರ್
charutaram,ಚಾರುತರಂ
roopillada,ರೂಪಿಲ್ಲದ
parlementaire,ಪಾರ್ಲಿಮೆಂಟೇರ್
belakangidde,ಬೆಳಕಂಗಿದ್ದೆ
bandudakkintaloo,ಬಂದುದಕ್ಕಿಂತಲೂ
deburu,ದೇಬೂರು
dattaniyu,ದಟ್ಟಣಿಯು
strinernondige,ಸ್ಟ್ರೈನರ್ನೊಂದಿಗೆ
morehokkavarannu,ಮೊರೆಹೊಕ್ಕವರನ್ನು
architecura,ಆರ್ಕಿಟೆಕ್ಯೂರಾ
serddidaru,ಸೇರ್ದ್ದಿದರು
mansasannu,ಮನ್ಸಸನ್ನು
tokkotinalli,ತೊಕ್ಕೊಟಿನಲ್ಲಿ
lakaki,ಲಕಾಕಿ
raynard,ರೇನಾರ್ಡ್
miraphlores,ಮಿರಾಫ್ಲೋರೆಸ್
punarvyavasthe,ಪುನರ್ವ್ಯವಸ್ಥೆ
naapata,ನಾಪತ
paathaviddalli,ಪಾಠವಿದ್ದಲ್ಲಿ
versiles,ವೆರ್ಸೈಲ್ಸ್
kshetrakaaryakartanu,ಕ್ಷೇತ್ರಕಾರ್ಯಕರ್ತನು
chatterji,ಚ್ಯಾಟರ್ಜಿ
pratijanakavagiddu,ಪ್ರತಿಜನಕವಾಗಿದ್ದು
belenashtavagiddu,ಬೆಳೆನಷ್ಟವಾಗಿದ್ದು
abhinavodbhasadim,ಅಭಿನವೋದ್ಭಾಸದಿಂ
highsilt,ಹೈಸಿಲ್ಟ್
arkhangelsk,ಆರ್ಖಾಂಗೆಲ್ಸ್ಕ್
lingannagoudaru,ಲಿಂಗಣ್ಣಗೌಡರು
sarojiniyavaru,ಸರೋಜಿನಿಯವರು
kamsasurana,ಕಂಸಾಸುರನ
akroshitanagidda,ಆಕ್ರೋಶಿತನಾಗಿದ್ದ
lotaku,ಲೊಟಕು
sarakshateya,ಸರಕ್ಷತೆಯ
haagiruttaale,ಹಾಗಿರುತ್ತಾಳೆ
karkalli,ಕರ್ಕಳ್ಳಿ
puraavegalirabahudu,ಪುರಾವೆಗಳಿರಬಹುದು
hattiraane,ಹತ್ತಿರಾನೆ
maimaretavaru,ಮೈಮರೆತವರು
bhogli,ಭೊಗ್ಲಿ
smrutipatalagala,ಸ್ಮೃತಿಪಟಲಗಳ
shadjaheena,ಷಡ್ಜಹೀನ
lakshmidevige,ಲಕ್ಷ್ಮಿದೇವಿಗೆ
tochadavalante,ತೋಚದವಳಂತೆ
madyadangadigalanna,ಮದ್ಯದಂಗಡಿಗಳನ್ನ
kelasaviddu,ಕೆಲಸವಿದ್ದು
bhedavenisade,ಭೇದವೆನಿಸದೆ
hudalaagu,ಹೂಡಲಾಗು
saakagi,ಸಾಕಗಿ
sococtic,ಸೋಕೋಕ್ಟಿಕ್
madraamaayanadalli,ಮದ್ರಾಮಾಯಣದಲ್ಲಿ
ranganayak,ರಂಗಾನಾಯಕ್
nellipalike,ನೆಲ್ಲಿಪಳಿಕೆ
daanapadedavaru,ದಾನಪಡೆದವರು
bhashanadallidda,ಭಾಷಣದಲ್ಲಿದ್ದ
bhootagannadiyannaagi,ಭೂತಗನ್ನಡಿಯನ್ನಾಗಿ
puruseyu,ಪುರುಸೆಯು
mantriyim,ಮಂತ್ರಿಯಿಂ
kapegaagi,ಕಪೆಗಾಗಿ
bulletstarm,ಬುಲೆಟ್ಸ್ಟಾರ್ಮ್
harbagh,ಹರ್ಬಾಗ್
sottagalu,ಸೊತ್ತಾಗಲು
paratakke,ಪರಾಟಕ್ಕೆ
kaaludaariyinda,ಕಾಲುದಾರಿಯಿಂದ
gundigeyavare,ಗುಂಡಿಗೆಯವರೇ
andokondidde,ಅಂದೊಕೊಂಡಿದ್ದೆ
gotamam,ಗೋತಮಂ
javakkoo,ಜಾವಕ್ಕೂ
malagobaagalannu,ಮಲಗೋಬಾಗಳನ್ನು
rajapratinidhiyada,ರಾಜಪ್ರತಿನಿಧಿಯಾದ
saralikaranadatta,ಸರಳೀಕರಣದತ್ತ
tinnalive,ತಿನ್ನಲಿವೆ
jagalavadidante,ಜಗಳವಾಡಿದಂತೆ
madisikodalu,ಮಾಡಿಸಿಕೊಡಲು
hootagi,ಹೋಟಗಿ
konnura,ಕೊನ್ನುರ
purvottaragalenu,ಪೂರ್ವೋತ್ತರಗಳೇನು
janvekar,ಜಾನ್ವೇಕರ್
baditare,ಬಡಿತಾರೆ
paavatisabekiruvudu,ಪಾವತಿಸಬೇಕಿರುವುದು
mundodalide,ಮುಂದೋಡಲಿದೆ
niyaamakavoo,ನಿಯಾಮಕವೂ
prasannarenuka,ಪ್ರಸನ್ನರೇಣುಕ
padayatreyanna,ಪಾದಯಾತ್ರೆಯನ್ನ
danivaguvashtu,ದಣಿವಾಗುವಷ್ಟು
devasturu,ದೇವಸ್ತೂರು
nettiddaroo,ನೆಟ್ಟಿದ್ದರೂ
prayonavagiralilla,ಪ್ರಯೋನವಾಗಿರಲಿಲ್ಲ
hanchikolluvudeno,ಹಂಚಿಕೊಳ್ಳುವುದೇನೋ
biduvagiralilla,ಬಿಡುವಾಗಿರಲಿಲ್ಲ
tekkiyagiddaru,ಟೆಕ್ಕಿಯಾಗಿದ್ದರು
pritisiddevu,ಪ್ರೀತಿಸಿದ್ದೆವು
hallujjikondare,ಹಲ್ಲುಜ್ಜಿಕೊಂಡರೆ
nagapattinam,ನಾಗಪಟ್ಟಿನಮ್
tsaahisiddu,ತ್ಸಾಹಿಸಿದ್ದು
pradeshaka,ಪ್ರದೇಶಕ
helidavaralla,ಹೇಳಿದವರಲ್ಲ
aatmacharitraakaararu,ಆತ್ಮಚರಿತ್ರಾಕಾರರು
anaatharannoo,ಅನಾಥರನ್ನೂ
tapitastharendu,ತಪಿತಸ್ಥರೆಂದು
bittubittenu,ಬಿಟ್ಟುಬಿಟ್ಟೆನು
gandhiyagiye,ಗಾಂಧಿಯಾಗಿಯೇ
neravagada,ನೆರವಾಗದ
saraagamappantu,ಸರಾಗಮಪ್ಪಂತು
manaaliyalliddaare,ಮನಾಲಿಯಲ್ಲಿದ್ದಾರೆ
haaniyaaguvantahavu,ಹಾನಿಯಾಗುವಂತಹವು
rastegilisalilla,ರಸ್ತೆಗಿಳಿಸಲಿಲ್ಲ
kattarisiddaane,ಕತ್ತರಿಸಿದ್ದಾನೆ
taannannu,ತಾನ್ನನ್ನು
pipebamb,ಪೈಪ್ಬಾಂಬ್
nayamur,ನಯಮೂರ್
gopuragalannoo,ಗೋಪುರಗಳನ್ನೂ
correspondent,ಕರಸ್ಪಾಂಡೆಂಟ್
aaratiyannettabeku,ಆರತಿಯನ್ನೆತ್ತಬೇಕು
dondiyalli,ದೊಂದಿಯಲ್ಲಿ
eladano,ಎಳದಾನೊ
sammeladali,ಸಮ್ಮೇಳದಲಿ
mukerjea,ಮುಖರ್ಜಿಯಾ
bukkadibailu,ಬುಕ್ಕಡಿಬೈಲು
aasekangala,ಆಸೆಕಂಗಳ
punaraavartisuvavarege,ಪುನರಾವರ್ತಿಸುವವರೆಗೆ
ghanateyu,ಘನತೆಯು
kelsavendare,ಕೆಲ್ಸವೆಂದರೆ
shushrooshakarige,ಶುಶ್ರೂಷಕರಿಗೆ
pratimanegalalli,ಪ್ರತಿಮನೆಗಳಲ್ಲಿ
edurisuttiruvaagaloo,ಎದುರಿಸುತ್ತಿರುವಾಗಲೂ
sodaragala,ಸೋದರಗಳ
hottirodrinda,ಹೊತ್ತಿರೋದ್ರಿಂದ
malalavaadikere,ಮಳಲವಾಡಿಕೆರೆ
tahaladi,ತಹಳದಿ
kannureppegalantaha,ಕಣ್ಣುರೆಪ್ಪೆಗಳಂತಹ
gavipurada,ಗವಿಪುರದ
huttuttado,ಹುಟ್ಟುತ್ತದೋ
ulita,ಉಳಿತ
kettada,ಕೆತ್ತದ
ivishtannoo,ಇವಿಷ್ಟನ್ನೂ
haakudannu,ಹಾಕುದನ್ನು
faitannu,ಫೈಟನ್ನು
taruttiruvudallade,ತರುತ್ತಿರುವುದಲ್ಲದೆ
arambhisibittare,ಆರಂಭಿಸಿಬಿಟ್ಟರೆ
honduttiruvudannu,ಹೊಂದುತ್ತಿರುವುದನ್ನು
parikavaada,ಪರಿಕವಾದ
badavilingada,ಬಡವಿಲಿಂಗದ
baalanudbhavisuvanu,ಬಾಲನುದ್ಭವಿಸುವನು
atankakkeedagiruva,ಆತಂಕಕ್ಕೀಡಾಗಿರುವ
kunchanashaktiyulla,ಕುಂಚನಶಕ್ತಿಯುಳ್ಳ
endendenna,ಎಂದೆಂದೆನ್ನ
devategalalli,ದೇವತೆಗಳಲ್ಲಿ
kriyetivige,ಕ್ರಿಯೇಟಿವಿಗೆ
visheshagaliruvudu,ವಿಶೇಷಗಳಿರುವುದು
okkarisuva,ಒಕ್ಕರಿಸುವ
visheshanapada,ವಿಶೇಷಣಪದ
paliyulikegalinda,ಪಳಿಯುಳಿಕೆಗಳಿಂದ
kavyapunja,ಕಾವ್ಯಪುಂಜ
gattiyaadashtoo,ಗಟ್ಟಿಯಾದಷ್ಟೂ
broogs,ಬ್ರೂಗ್ಸ್
moolamaanadalle,ಮೂಲಮಾನದಲ್ಲೇ
hebbatugalantaha,ಹೆಬ್ಬಾತುಗಳಂತಹ
grathalayakke,ಗ್ರಥಾಲಯಕ್ಕೆ
munduvarisuttiddu,ಮುಂದುವರಿಸುತ್ತಿದ್ದು
ouduvitavaagide,ಔಡುವಿತವಾಗಿದೆ
vasava,ವಾಸವ
sparsgalige,ಸ್ಪರ್ಸ್ಗಳಿಗೆ
punarbhartiyaguttave,ಪುನರ್ಭರ್ತಿಯಾಗುತ್ತವೆ
gaadfaadargalannu,ಗಾಡ್ಫಾದರ್ಗಳನ್ನು
sandaayavaadavu,ಸಂದಾಯವಾದವು
muncipalitiche,ಮುನ್ಸಿಪಾಲಿಟಿಚೆ
lago,ಲಾಗೋ
rajakari,ರಾಜಕಾರಿ
sulabhavallavennuvudu,ಸುಲಭವಲ್ಲವೆನ್ನುವುದು
maadabahudemba,ಮಾಡಬಹುದೆಂಬ
gazer,ಗೇಜರ್
patanavagalikke,ಪತನವಾಗಲಿಕ್ಕೆ
yojisuttiruvudara,ಯೋಜಿಸುತ್ತಿರುವುದರ
sadupayogavadare,ಸದುಪಯೋಗವಾದರೆ
punarambhisutta,ಪುನಾರಂಭಿಸುತ್ತಾ
nirdhaarabembalisida,ನಿರ್ಧಾರಬೆಂಬಲಿಸಿದ
biniyan,ಬಿನಿಯನ್
daryavoo,ದರ್ಯವೂ
stuffing,ಸ್ಟಫ್ಫಿಂಗ್
chadangagalannu,ಚಡಂಗಗಳನ್ನು
kategalishta,ಕತೆಗಳಿಷ್ಟ
marksnante,ಮಾರ್ಕ್ಸ್ನಂತೆ
trenchard,ಟ್ರೆನ್ಚಾರ್ಡ್
tiralilla,ತೀರಲಿಲ್ಲ
kattalaaguva,ಕಟ್ಟಲಾಗುವ
edurubaduraadaroo,ಎದುರುಬದುರಾದರೂ
huttiradidda,ಹುಟ್ಟಿರದಿದ್ದ
baariyavara,ಬಾರಿಯವರ
gwathme,ಗ್ವಾಥ್ಮೆ
nirgalu,ನಿರ್ಗಲು
kaddidde,ಕದ್ದಿದ್ದೆ
narashuleyinda,ನರಶೂಲೆಯಿಂದ
nantondide,ನಂಟೊಂದಿದೆ
vasculara,ವ್ಯಾಸ್ಕ್ಯುಲರ
penedo,ಪೆನೆಡೋ
jeevanaduddakoo,ಜೀವನದುದ್ದಕೂ
vasiliki,ವಾಸಿಲಿಕಿ
mantriyagabeka,ಮಂತ್ರಿಯಾಗಬೇಕಾ
jinaraj,ಜಿನರಾಜ್
jurchans,ಜುರ್ಚನ್ಸ್
soochisabekittu,ಸೂಚಿಸಬೇಕಿತ್ತು
hodedaddagali,ಹೊಡೆದದ್ದಾಗಲಿ
lopagalendare,ಲೋಪಗಳೆಂದರೆ
bhavishyavaanigalellavu,ಭವಿಷ್ಯವಾಣಿಗಳೆಲ್ಲವೂ
fiver,ಫೈವರ್
samyogakke,ಸಂಯೋಗಕ್ಕೆ
seginta,ಸೆಗಿಂತ
sambandhavirisiddu,ಸಂಬಂಧವಿರಿಸಿದ್ದು
varahaavataara,ವರಹಾವತಾರ
kalachuttittu,ಕಳಚುತ್ತಿತ್ತು
dagiruvudarinda,ದಾಗಿರುವುದರಿಂದ
dasharathideekshit,ದಾಶರಥಿದೀಕ್ಷಿತ್
shabdavaibhava,ಶಬ್ದವೈಭವ
udaareekruta,ಉದಾರೀಕೃತ
agamasida,ಆಗಮಸಿದ
vichaaravannittu,ವಿಚಾರವನ್ನಿಟ್ಟು
srimantagolisali,ಶ್ರೀಮಂತಗೊಳಿಸಲಿ
nandikeshwaramatharu,ನಂದಿಕೇಶ್ವರಮಠರು
malebeleyaguttilla,ಮಳೆಬೆಳೆಯಾಗುತ್ತಿಲ್ಲ
chawhat,ಚವ್ಹಾಟ್
vakchaturate,ವಾಕ್ಚತುರತೆ
lagnavagadirdode,ಲಗ್ನವಾಗದಿರ್ದೊಡೆ
aalakkilidaru,ಆಳಕ್ಕಿಳಿದರು
horaduttiddanteye,ಹೊರಡುತ್ತಿದ್ದಂತೆಯೇ
kalpisilaaguttide,ಕಲ್ಪಿಸಿಲಾಗುತ್ತಿದೆ
klemaada,ಕ್ಲೆಮಾದ
dhinwas,ಧಿನ್ವಾಸ್
jivagalanne,ಜೀವಗಳನ್ನೇ
miriyaadaroo,ಮೀರಿಯಾದರೂ
oggoodabahudemba,ಒಗ್ಗೂಡಬಹುದೆಂಬ
hongannadigadapugala,ಹೊಂಗನ್ನಡಿಗದಪುಗಳ
aringulada,ಅರಿಂಗುಳದ
belachawadi,ಬೆಳಚವಾಡಿ
presidentgala,ಪ್ರೆಸಿಡೆಂಟ್ಗಳ
daivipurusha,ದೈವಿಪುರುಷ
pangadadalli,ಪಂಗಡದಲ್ಲಿ
saakshyachitravannoo,ಸಾಕ್ಷ್ಯಚಿತ್ರವನ್ನೂ
kallatanavagiddu,ಕಳ್ಳತನವಾಗಿದ್ದು
bogardus,ಬೊಗಾರ್ಡಸ್
aranyavaasigalu,ಅರಣ್ಯವಾಸಿಗಳು
nenasikolluvante,ನೆನಸಿಕೊಳ್ಳುವಂತೆ
punaraarambhisuvudakke,ಪುನರಾರಂಭಿಸುವುದಕ್ಕೆ
seleyadu,ಸೆಲೆಯದು
neravaagiddaroo,ನೆರವಾಗಿದ್ದರೂ
janmabhoomiyaagiruva,ಜನ್ಮಭೂಮಿಯಾಗಿರುವ
gaaliyidirali,ಗಾಳಿಯಿದಿರಲಿ
trellisgalu,ಟ್ರೆಲ್ಲಿಸ್ಗಳು
koleyuttideyalla,ಕೊಳೆಯುತ್ತಿದೆಯಲ್ಲ
hottukollalaagade,ಹೊತ್ತುಕೊಳ್ಳಲಾಗದೆ
tilidiruvudarante,ತಿಳಿದಿರುವುದರಂತೆ
avanipuradalli,ಅವನಿಪುರದಲ್ಲಿ
sopore,ಸೊಪೊರ್
maadhvariddaare,ಮಾಧ್ವರಿದ್ದಾರೆ
bhediyaadalli,ಭೇದಿಯಾದಲ್ಲಿ
vishvaasadalliddaane,ವಿಶ್ವಾಸದಲ್ಲಿದ್ದಾನೆ
phildalli,ಫೀಲ್ದಲ್ಲಿ
aadigi,ಆಡಿಗಿ
kudureye,ಕುದುರೆಯೇ
sputavaada,ಸ್ಪುಟವಾದ
hanalli,ಹನಲ್ಲಿ
cheluvembudu,ಚೆಲುವೆಂಬುದು
adhyaksharagiddaare,ಅಧ್ಯಕ್ಷರಾಗಿದ್ದಾರೆ
horabandavaroo,ಹೊರಬಂದವರೂ
daanagalannu,ದಾನಗಳನ್ನು
sonuki,ಸೋನುಕಿ
adakkante,ಅದಕ್ಕಂತೆ
anusvaaranaagi,ಅನುಸ್ವಾರನಾಗಿ
durbalagondi,ದುರ್ಬಲಗೊಂಡಿ
vatavaranadalliddaga,ವಾತಾವರಣದಲ್ಲಿದ್ದಾಗ
charchisirutteve,ಚರ್ಚಿಸಿರುತ್ತೇವೆ
moolanaatakakke,ಮೂಲನಾಟಕಕ್ಕೆ
nigadiyaadaroo,ನಿಗದಿಯಾದರೂ
agogive,ಆಗೋಗಿವೆ
kampaniyagaliddu,ಕಂಪನಿಯಾಗಲಿದ್ದು
shubhadaayakavaagiralide,ಶುಭದಾಯಕವಾಗಿರಲಿದೆ
huttuttiddudu,ಹುಟ್ಟುತ್ತಿದ್ದುದು
dornan,ಡಾರ್ನ್
preraneyindagiye,ಪ್ರೇರಣೆಯಿಂದಾಗಿಯೇ
ekamukhavaaguttade,ಏಕಮುಖವಾಗುತ್ತದೆ
baalyaavastheyannu,ಬಾಲ್ಯಾವಸ್ಥೆಯನ್ನು
suvarnavidhaana,ಸುವರ್ಣವಿಧಾನ
satyapalaka,ಸತ್ಯಪಾಲಕ
ektaala,ಎಕ್ತಾಳ
khandisalaaguvudendu,ಖಂಡಿಸಲಾಗುವುದೆಂದು
sadbhalakeyaguttilla,ಸದ್ಭಳಕೆಯಾಗುತ್ತಿಲ್ಲ
paramapoojyarannu,ಪರಮಪೂಜ್ಯರನ್ನು
pitrudoshavannu,ಪಿತೃದೋಷವನ್ನು
sonography,ಸೋನೋಗ್ರಾಫಿ
kurier,ಕುರಿಯರ್
bechchagaaguvirendu,ಬೆಚ್ಚಗಾಗುವಿರೆಂದು
swajille,ಸ್ವಜಿಲ್ಲೆ
muttatodagidaru,ಮುತ್ತತೊಡಗಿದರು
parabhasheyannoo,ಪರಭಾಷೆಯನ್ನೂ
ananiah,ಅನನ್ಯಾ
kattadagalirali,ಕಟ್ಟಡಗಳಿರಲಿ
engineerings,ಎಂಜಿನಿಯರಿಂಗ್ಸ್
gruyen,ಗ್ರೂಯೆನ್
vidyaarthiyaadavaru,ವಿದ್ಯಾರ್ಥಿಯಾದವರು
kesiyinda,ಕೇಸಿಯಿಂದ
vikiranateyinda,ವಿಕಿರಣತೆಯಿಂದ
prayogavagiside,ಪ್ರಯೋಗವಾಗಿಸಿದೆ
chitrodyamakkagi,ಚಿತ್ರೋದ್ಯಮಕ್ಕಾಗಿ
mahatapasi,ಮಹಾತಾಪಸಿ
saadhisadiruvaaga,ಸಾಧಿಸದಿರುವಾಗ
tangiyillada,ತಂಗಿಯಿಲ್ಲದ
eejuttideyendu,ಈಜುತ್ತಿದೆಯೆಂದು
adhikana,ಅಧಿಕನ
yedrawkar,ಯೆಡ್ರಾವ್ಕರ್
kshaareeyavendu,ಕ್ಷಾರೀಯವೆಂದು
mataduvikeya,ಮಾತಾಡುವಿಕೆಯ
chandrasekhararavara,ಚಂದ್ರಶೇಖರರವರ
peredege,ಪೆರೆದೆಗೆ
rajashekarananda,ರಾಜಶೇಖರಾನಂದ
ustuvaariyaagiddaroo,ಉಸ್ತುವಾರಿಯಾಗಿದ್ದರೂ
viralaraaguttiddaare,ವಿರಳರಾಗುತ್ತಿದ್ದಾರೆ
ekareyashtaagide,ಎಕರೆಯಷ್ಟಾಗಿದೆ
horatavanu,ಹೊರಟವನು
evveribody,ಎವ್ವೆರಿಬಡಿ
sorikegalagive,ಸೋರಿಕೆಗಳಾಗಿವೆ
ondevarshadalli,ಒಂದೇವರ್ಷದಲ್ಲಿ
agers,ಎಜರ್ಸ್
maarpadisuvavaraagi,ಮಾರ್ಪಡಿಸುವವರಾಗಿ
hudukidudaralli,ಹುಡುಕಿದುದರಲ್ಲಿ
noduttiruvira,ನೋಡುತ್ತಿರುವಿರ
recoveepment,ರಿಕವಿಪ್ಮೆಂಟ್
chindiyagilla,ಚಿಂದಿಯಾಗಿಲ್ಲ
purvavikshisuttade,ಪೂರ್ವವೀಕ್ಷಿಸುತ್ತದೆ
aashvagalu,ಆಶ್ವಗಳು
kalasikottare,ಕಲಸಿಕೊಟ್ಟರೆ
parichayavirali,ಪರಿಚಯವಿರಲಿ
nintirali,ನಿಂತಿರಲಿ
kaibiduvavarege,ಕೈಬಿಡುವವರೆಗೆ
karunian,ಕರುನಿಯಾನ್
tirmaanaviddu,ತೀರ್ಮಾನವಿದ್ದು
aliyanobbanu,ಅಳಿಯನೊಬ್ಬನು
manjumaya,ಮಂಜುಮಯ
noduttiddeveyo,ನೋಡುತ್ತಿದ್ದೇವೆಯೋ
gaayakagaayaki,ಗಾಯಕಗಾಯಕಿ
leadership,ಲೀಡರ್ಷಿಪ್
navkiran,ನವಕಿರಣ್
spoortiyaagaballavu,ಸ್ಪೂರ್ತಿಯಾಗಬಲ್ಲವು
somannange,ಸೋಮಣ್ಣಂಗೆ
sratantrya,ಸ್ರಾತಂತ್ರ್ಯ
vichaaragaligaagi,ವಿಚಾರಗಳಿಗಾಗಿ
shrividyaganapatiya,ಶ್ರೀವಿದ್ಯಾಗಣಪತಿಯ
bhagavatikeyalliyu,ಭಾಗವತಿಕೆಯಲ್ಲಿಯೂ
holesi,ಹೊಲೆಸಿ
viphalagolluvavarege,ವಿಫಲಗೊಳ್ಳುವವರೆಗೆ
arabagatte,ಅರಬಗಟ್ಟೆ
suttuna,ಸುತ್ತುನ
kelavakka,ಕೆಲವಕ್ಕ
gorge,ಜಾರ್ಜ್
modalidandalu,ಮೊದಲಿದಂದಲೂ
taaviddu,ತಾವಿದ್ದು
maximavannu,ಮ್ಯಾಕ್ಸಿಮಾವನ್ನು
lpaduvudu,ಲ್ಪಡುವುದು
annislikke,ಅನ್ನಿಸ್ಲಿಕ್ಕೆ
ichchisuvudaagi,ಇಚ್ಛಿಸುವುದಾಗಿ
arambhagondru,ಆರಂಭಗೊಂಡ್ರು
anubhootiyaaguvudu,ಅನುಭೂತಿಯಾಗುವುದು
dhaamagaliruvudu,ಧಾಮಗಳಿರುವುದು
durbalaka,ದುರ್ಬಳಕ
suriyalaagittu,ಸುರಿಯಲಾಗಿತ್ತು
siguvavaralli,ಸಿಗುವವರಲ್ಲಿ
samshayavyaktapadisi,ಸಂಶಯವ್ಯಕ್ತಪಡಿಸಿ
horavalayagalatta,ಹೊರವಲಯಗಳತ್ತ
neravaguttare,ನೇರವಾಗುತ್ತಾರೆ
sustainable,ಸಸ್ಟೇಯ್ನಬಲ್
tiligolluvudu,ತಿಳಿಗೊಳ್ಳುವುದು
nidarshanakkendu,ನಿದರ್ಶನಕ್ಕೆಂದು
