English,Kannada
haakuvantaaguttade,ಹಾಕುವಂತಾಗುತ್ತದೆ
keralisadiruva,ಕೆರಳಿಸದಿರುವ
sarova,ಸರೋವ
kaadaadabeku,ಕಾದಾಡಬೇಕು
haranaaladalli,ಹರನಾಳದಲ್ಲಿ
svabhaavavittu,ಸ್ವಭಾವವಿತ್ತು
prachaaravondu,ಪ್ರಚಾರವೊಂದು
mailigondarante,ಮೈಲಿಗೊಂದರಂತೆ
paytmgay,ಪೇಟಿಎಂಗೇ
niranjanaraje,ನಿರಂಜನರಾಜೇ
tainge,ಟೈಂಗೆ
aaduvudendu,ಆಡುವುದೆಂದು
tadehididaru,ತಡೆಹಿಡಿದರು
mugilanne,ಮುಗಿಲನ್ನೆ
padavidararagirabeku,ಪದವೀದರರಾಗಿರಬೇಕು
rushed,ರಶ್ಡ್
mooshikanigoo,ಮೂಷಿಕನಿಗೂ
trisuttiddaru,ತ್ರಿಸುತ್ತಿದ್ದರು
vasagalu,ವಸಗಳು
kunadiddu,ಕುಣದಿದ್ದು
haridarashte,ಹರಿದರಷ್ಟೇ
nirdeshakarallina,ನಿರ್ದೇಶಕರಲ್ಲಿನ
kutumbajeevana,ಕುಟುಂಬಜೀವನ
akramisakollalu,ಆಕ್ರಮಿಸಕೊಳ್ಳಲು
pouwad,ಪೌವಾದ್
duradarshanakalavidaravi,ದೂರದರ್ಶನಕಲಾವಿದರವಿ
iralade,ಇರಲದೆ
nirdeshisuvudara,ನಿರ್ದೇಶಿಸುವುದರ
layadallide,ಲಯದಲ್ಲಿದೆ
sambhodisittu,ಸಂಭೋದಿಸಿತ್ತು
hesaranth,ಹೆಸರಾಂತ್
kotiyojana,ಕೋಟಿಯೋಜನ
mumadaagiddaare,ಮುಮದಾಗಿದ್ದಾರೆ
roopugondudu,ರೂಪುಗೊಂಡುದು
dantakatheyantiddaru,ದಂತಕಥೆಯಂತಿದ್ದರು
chendutigalu,ಚೆಂದುಟಿಗಳು
halliyavarendare,ಹಳ್ಳಿಯವರೆಂದರೆ
drudhikarisabekagittu,ದೃಢೀಕರಿಸಬೇಕಾಗಿತ್ತು
bundiyallina,ಬುಂದಿಯಲ್ಲಿನ
mussori,ಮುಸ್ಸೊರಿ
yogashikshaki,ಯೋಗಶಿಕ್ಷಕಿ
padalebekide,ಪಡಲೇಬೇಕಿದೆ
vyasanigalanteye,ವ್ಯಸನಿಗಳಂತೆಯೇ
vaidyariddu,ವೈದ್ಯರಿದ್ದು
hinthiruguva,ಹಿಂತಿರುಗುವ
saagisuttittu,ಸಾಗಿಸುತ್ತಿತ್ತು
hondivalu,ಹೊಂದಿವಳು
bageyalliruttave,ಬಗೆಯಲ್ಲಿರುತ್ತವೆ
odaki,ಒಡಕಿ
chaparnalli,ಚಾಪರ್ನಲ್ಲಿ
adellakku,ಅದೆಲ್ಲಕ್ಕು
vikendriyateya,ವಿಕೇಂದ್ರೀಯತೆಯ
toruvaro,ತೋರುವರೋ
gurutisidavarige,ಗುರುತಿಸಿದವರಿಗೆ
meetinggalalli,ಮೀಟಿಂಗ್ಗಳಲ್ಲಿ
yukegalalle,ಯುಕೆಗಳಲ್ಲೇ
nadeyuvudentu,ನಡೆಯುವುದೆಂತು
veerashaivarellam,ವೀರಶೈವರೆಲ್ಲಂ
ugamagolluva,ಉಗಮಗೊಳ್ಳುವ
aaphrikal,ಆಫ್ರಿಕಲ್
bichchabekaagutte,ಬಿಚ್ಚಬೇಕಾಗುತ್ತೆ
aruchikondu,ಅರುಚಿಕೊಂಡು
chaarisuva,ಚಾರಿಸುವ
shindholliyinda,ಶಿಂಧೊಳ್ಳಿಯಿಂದ
lakesetivgalu,ಲೇಕ್ಸೇಟಿವ್ಗಳು
niyamitagolisuvalliyu,ನಿಯಮಿತಗೊಳಿಸುವಲ್ಲಿಯೂ
hinneleyullavarinda,ಹಿನ್ನೆಲೆಯುಳ್ಳವರಿಂದ
halladavaregina,ಹಳ್ಳದವರೆಗಿನ
pektarara,ಪೆಕ್ಟರರ
apachaaravaaguttade,ಅಪಚಾರವಾಗುತ್ತದೆ
shesu,ಶೇಸು
yooniyanugalu,ಯೂನಿಯನುಗಳು
nambuvava,ನಂಬುವವ
nekkalendu,ನೆಕ್ಕಲೆಂದು
chunavanadhikariyavarada,ಚುನಾವಣಾಧಿಕಾರಿಯವರಾದ
asosiyesh,ಅಸೋಸಿಯೇಶ್
pathagalilla,ಪಾಠಗಳಿಲ್ಲ
parikshit,ಪರೀಕ್ಷಿತ
geregalalli,ಗೆರೆಗಳಲ್ಲಿ
mahaakaaliyannu,ಮಹಾಕಾಳಿಯನ್ನು
raftige,ರಫ್ತಿಗೆ
nirjanavagiruttade,ನಿರ್ಜನವಾಗಿರುತ್ತದೆ
abono,ಅಬೊನೊ
premasambandhavittu,ಪ್ರೇಮಸಂಬಂಧವಿತ್ತು
aniketanada,ಅನಿಕೇತನದ
shronitatmasangadinda,ಶ್ರೋಣಿತಾತ್ಮಸಂಗದಿಂದ
maadideyalle,ಮಾಡಿದೆಯಲ್ಲೇ
arivaguttade,ಅರಿವಾಗುತ್ತದೆ
paramaaraadhyaru,ಪರಮಾರಾಧ್ಯರು
kalmadiyinda,ಕಲ್ಮಾಡಿಯಿಂದ
gocharadinda,ಗೋಚರದಿಂದ
onagitta,ಒಣಗಿತ್ತ
manekelasadavaroo,ಮನೆಕೆಲಸದವರೂ
tirmaanavaagirabahudu,ತೀರ್ಮಾನವಾಗಿರಬಹುದು
misaliduttive,ಮೀಸಲಿಡುತ್ತಿವೆ
hataraagiddaagi,ಹತರಾಗಿದ್ದಾಗಿ
plaatugalannu,ಪ್ಲಾಟುಗಳನ್ನು
khaayileyiralilla,ಖಾಯಿಲೆಯಿರಲಿಲ್ಲ
guturuhakutta,ಗುಟುರುಹಾಕುತ್ತ
chintisadantaha,ಚಿಂತಿಸದಂತಹ
bannaveke,ಬಣ್ಣವೇಕೆ
tindaddarinda,ತಿಂದದ್ದರಿಂದ
nooluvantirabeku,ನೂಲುವಂತಿರಬೇಕು
satprajegalagi,ಸತ್ಪ್ರಜೆಗಳಾಗಿ
aangikateya,ಆಂಗಿಕತೆಯ
pariharakjagi,ಪರಿಹಾರಕ್ಜಾಗಿ
munnadeyutti,ಮುನ್ನಡೆಯುತ್ತಿ
panikar,ಪಣಿಕರ್
kaanuttalendanu,ಕಾಣುತ್ತಲೆಂದನು
menalose,ಮೆನಲೋಸ್
niyamitavaagiddu,ನಿಯಮಿತವಾಗಿದ್ದು
naachikoltiddaarante,ನಾಚಿಕೊಳ್ತಿದ್ದಾರಂತೆ
baredi,ಬರೆಡಿ
laabhavetti,ಲಾಭವೆತ್ತಿ
kautakam,ಕೌತಕಂ
kesarugatte,ಕೆಸರುಗಟ್ಟೆ
sukhadaayakavaagiyu,ಸುಖದಾಯಕವಾಗಿಯೂ
janapriyavadaddallade,ಜನಪ್ರಿಯವಾದದ್ದಲ್ಲದೆ
saarajanakakkinta,ಸಾರಜನಕಕ್ಕಿಂತ
smashaanavaadaru,ಸ್ಮಶಾನವಾದರೂ
kadimeyaagabaaradendu,ಕಡಿಮೆಯಾಗಬಾರದೆಂದು
sungai,ಸುಂಗೈ
rajyapalyam,ರಾಜ್ಯಪಾಳ್ಯಂ
varshadavarendu,ವರ್ಷದವರೆಂದು
kaluhisiddavana,ಕಳುಹಿಸಿದ್ದವನ
vruddhigonditu,ವೃದ್ಧಿಗೊಂಡಿತು
gruhabandhi,ಗೃಹಬಂಧಿ
dischargenantaha,ಡಿಸ್ಚಾರ್ಜ್ನಂತಹ
biship,ಬಿಷಿಪ್
bediddannella,ಬೇಡಿದ್ದನ್ನೆಲ್ಲ
daasaralloo,ದಾಸರಲ್ಲೂ
doddakereyu,ದೊಡ್ಡಕೆರೆಯು
bichana,ಬೀಚನ
gouravisidagale,ಗೌರವಿಸಿದಾಗಲೇ
alvesathletic,ಆಲ್ವೆಸ್ಅಥ್ಲೆಟಿಕ್
svaradhaarege,ಸ್ವರಧಾರೆಗೆ
walia,ವಾಲಾ
vaadyadavarege,ವಾದ್ಯದವರೆಗೆ
maditte,ಮಾಡಿಟ್ಟೆ
chritrikarisiddu,ಚ್ರಿತ್ರೀಕರಿಸಿದ್ದು
maseyuvaaga,ಮಸೆಯುವಾಗ
saalumaragale,ಸಾಲುಮರಗಳೇ
kodabahudennuva,ಕೊಡಬಹುದೆನ್ನುವ
huddersfield,ಹಡ್ಡರ್ಸ್ಫೀಲ್ಡ್
karunangapriya,ಕರುಣಾಂಗಪ್ರಿಯ
tevaamshavilladiddare,ತೇವಾಂಶವಿಲ್ಲದಿದ್ದರೆ
sambandhisidu,ಸಂಬಂಧಿಸಿದು
sadrudhavannagisalu,ಸದೃಢವನ್ನಾಗಿಸಲು
ghisadi,ಘೀಸಾಡಿ
hiles,ಹೈಲ್ಸ್
jinkegalinda,ಜಿಂಕೆಗಳಿಂದ
kariyappanige,ಕರಿಯಪ್ಪನಿಗೆ
kathanavondannu,ಕಥನವೊಂದನ್ನು
saahebaridda,ಸಾಹೇಬರಿದ್ದ
kumaaravruttiyinda,ಕುಮಾರವೃತ್ತಿಯಿಂದ
pratyakshaanubhavadinda,ಪ್ರತ್ಯಕ್ಷಾನುಭವದಿಂದ
mulugeluttidde,ಮುಳುಗೇಳುತ್ತಿದ್ದೆ
ilakheyottige,ಇಲಾಖೆಯೊಟ್ಟಿಗೆ
tinutaade,ತಿನುತಾದೆ
paaraagiddarinda,ಪಾರಾಗಿದ್ದರಿಂದ
atmadrohi,ಆತ್ಮದ್ರೋಹಿ
edurinapandyadalli,ಎದುರಿನಪಂದ್ಯದಲ್ಲಿ
villies,ವಿಲೀಸ್
alvapuram,ಅಲ್ವಾಪುರಂ
raajakeeyakshetrakke,ರಾಜಕೀಯಕ್ಷೇತ್ರಕ್ಕೆ
sakalavastugala,ಸಕಲವಸ್ತುಗಳ
shishusaahityada,ಶಿಶುಸಾಹಿತ್ಯದ
entaradalli,ಎಂತರದಲ್ಲಿ
sainyave,ಸೈನ್ಯವೆ
durgeye,ದುರ್ಗೆಯೆ
kayipallegalalli,ಕಾಯಿಪಲ್ಲೆಗಳಲ್ಲಿ
chaapraadalli,ಚಾಪ್ರಾದಲ್ಲಿ
abbakkanallah,ಅಬ್ಬಕ್ಕನಲ್ಲಾ
siddhapadisuvude,ಸಿದ್ಧಪಡಿಸುವುದೇ
pistulya,ಪಿಸ್ತೂಲ್ಯ
jalligala,ಜಲ್ಲಿಗಳ
divyaharamam,ದಿವ್ಯಾಹಾರಮಂ
patragaliruvudilla,ಪಾತ್ರಗಳಿರುವುದಿಲ್ಲ
krishnarajapurakke,ಕೃಷ್ಣರಾಜಪುರಕ್ಕೆ
plastid,ಪ್ಲಾಸ್ಟಿಡ್
nirinavarege,ನೀರಿನವರೆಗೆ
kuggihogiddaane,ಕುಗ್ಗಿಹೋಗಿದ್ದಾನೆ
olatvacheyallina,ಒಳತ್ವಚೆಯಲ್ಲಿನ
samayavaritu,ಸಮಯವರಿತು
hariginadoni,ಹರಿಗಿನದೋಣಿ
tuppavaadaru,ತುಪ್ಪವಾದರು
haadugaliddavo,ಹಾಡುಗಳಿದ್ದವೋ
hogadiruvaga,ಹೋಗದಿರುವಾಗ
maahitiyarita,ಮಾಹಿತಿಯರಿತ
kaalejallella,ಕಾಲೇಜಲ್ಲೆಲ್ಲ
kashtaveya,ಕಷ್ಟವೇಯ
phycology,ಫೈಕಾಲಜಿ
kaaryamaaduttene,ಕಾರ್ಯಮಾಡುತ್ತೇನೆ
utkarshanakaari,ಉತ್ಕರ್ಷಣಕಾರಿ
hoyitallade,ಹೋಯಿತಲ್ಲದೇ
horadisuttidda,ಹೊರಡಿಸುತ್ತಿದ್ದ
pitadhikarigala,ಪೀಠಾಧಿಕಾರಿಗಳ
aaduvagu,ಆಡುವಾಗು
uchitagolisi,ಉಚಿತಗೊಳಿಸಿ
sriramadevalayakke,ಶ್ರೀರಾಮದೇವಾಲಯಕ್ಕೆ
jayarame,ಜಯರಾಮೆ
bhayasodu,ಭಯಸೋದು
pettiyangadi,ಪೆಟ್ಟಿಯಂಗಡಿ
jamaayisadante,ಜಮಾಯಿಸದಂತೆ
nadesuttiddarashte,ನಡೆಸುತ್ತಿದ್ದರಷ್ಟೆ
chikkarangegoudara,ಚಿಕ್ಕರಂಗೇಗೌಡರ
harijanannu,ಹರಿಜನನ್ನು
sulisade,ಸುಲಿಸದೆ
auaf,ಎಯುಎಎಫ್
vichalitanaadaroo,ವಿಚಲಿತನಾದರೂ
banavantadevige,ಬನವಂತಾದೇವಿಗೆ
drudhavaniyim,ದೃಢವಾಣಿಯಿಂ
chinmayanandaru,ಚಿನ್ಮಯಾನಂದರು
siddhaantadalliyoo,ಸಿದ್ಧಾಂತದಲ್ಲಿಯೂ
jalashayamattadalli,ಜಲಾಶಯಮಟ್ಟದಲ್ಲಿ
kemminjege,ಕೆಮ್ಮಿಂಜೆಗೆ
hambalisuvudaralli,ಹಂಬಲಿಸುವುದರಲ್ಲಿ
ugiyantrada,ಉಗಿಯಂತ್ರದ
enderle,ಎಂಡರ್ಲೆ
edavattugalaaguttive,ಎಡವಟ್ಟುಗಳಾಗುತ್ತಿವೆ
nillisuvade,ನಿಲ್ಲಿಸುವದೇ
savaalaagabaaradu,ಸವಾಲಾಗಬಾರದು
novundiddaru,ನೋವುಂಡಿದ್ದರೂ
andendigintaloo,ಅಂದೆಂದಿಗಿಂತಲೂ
kuchalu,ಕುಚಲು
vilambavoo,ವಿಳಂಬವೂ
aksharagalellavu,ಅಕ್ಷರಗಳೆಲ್ಲವೂ
gujararat,ಗುಜರಾರತ್
udugisibiduttade,ಉಡುಗಿಸಿಬಿಡುತ್ತದೆ
praarambhavaaguvudakke,ಪ್ರಾರಂಭವಾಗುವುದಕ್ಕೆ
poushtikaamshadavu,ಪೌಷ್ಟಿಕಾಂಶದವು
kaaryaviralilla,ಕಾರ್ಯವಿರಲಿಲ್ಲ
agiddirabekemba,ಆಗಿದ್ದಿರಬೇಕೆಂಬ
nazmeen,ನಜ್ಮೀನ್
adhiraajanige,ಅಧಿರಾಜನಿಗೆ
baalaleelegalannu,ಬಾಲಲೀಲೆಗಳನ್ನು
maidaanadante,ಮೈದಾನದಂತೆ
naastikanaagiddaru,ನಾಸ್ತಿಕನಾಗಿದ್ದರೂ
jalagombina,ಜಲಗೊಂಬಿನ
torisiwe,ತೋರಿಸಿವೆ
aaspatreyagala,ಆಸ್ಪತ್ರೆಯಗಳ
unnatikariside,ಉನ್ನತಿಕರಿಸಿದೆ
rosasiyondige,ರೋಸಾಸಿಯೊಂದಿಗೆ
antifungus,ಆಂಟಿಫಂಗಸ್
lakshanaadhaarita,ಲಕ್ಷಣಾಧಾರಿತ
buxkin,ಬಕ್ಸ್ಕಿನ್
ninneyaddenalla,ನಿನ್ನೆಯದ್ದೇನಲ್ಲ
nishpaapada,ನಿಷ್ಪಾಪದ
buddhimaandhyatege,ಬುದ್ಧಿಮಾಂಧ್ಯತೆಗೆ
nemisuvudillavendu,ನೇಮಿಸುವುದಿಲ್ಲವೆಂದು
addikodu,ಅದ್ದಿಕೊಡು
tagulisikolluttaare,ತಗುಲಿಸಿಕೊಳ್ಳುತ್ತಾರೆ
barabekantalu,ಬರಬೇಕಂತಲೂ
samaradalliruva,ಸಮರದಲ್ಲಿರುವ
usiraaduvikegu,ಉಸಿರಾಡುವಿಕೆಗೂ
kallukoregalu,ಕಲ್ಲುಕೋರೆಗಳು
anahutakariyagi,ಅನಾಹುತಕಾರಿಯಾಗಿ
horabiddiruvudannu,ಹೊರಬಿದ್ದಿರುವುದನ್ನು
rasma,ರಸ್ಮಾ
badalaayisiveye,ಬದಲಾಯಿಸಿವೆಯೇ
kusugallaravaru,ಕುಸುಗಲ್ಲರವರು
ghrutavannoo,ಘೃತವನ್ನೂ
chikkadagisida,ಚಿಕ್ಕದಾಗಿಸಿದ
hypugaliruva,ಹೈಪುಗಳಿರುವ
kanisabekadare,ಕಾಣಿಸಬೇಕಾದರೆ
priyanjali,ಪ್ರಿಯಾಂಜಲಿ
hulisihigalonde,ಹುಳಿಸಿಹಿಗಳೊಂದೆ
shivajogi,ಶಿವಜೋಗಿ
onagidirendu,ಒಣಗಿದಿರೆಂದು
vishrami,ವಿಶ್ರಮಿ
barbadence,ಬಾರ್ಬಡೆನ್ಸ್
adakat,ಅಡಕತ್
halagegalendu,ಹಲಗೆಗಳೆಂದು
islaamada,ಇಸ್ಲಾಮದ
echcharavaagiddaru,ಎಚ್ಚರವಾಗಿದ್ದರು
mahatsaadaneya,ಮಹತ್ಸಾದನೆಯ
badsu,ಬಡ್ಸು
mahaakaavyavondannu,ಮಹಾಕಾವ್ಯವೊಂದನ್ನು
katasaraja,ಕಟಸರಾಜ
salowe,ಸಲೋವೆ
navidannella,ನಾವಿದನ್ನೆಲ್ಲ
naayakanaddaagide,ನಾಯಕನದ್ದಾಗಿದೆ
panchalingesha,ಪಂಚಲಿಂಗೇಶ
gandhiyeno,ಗಾಂಧಿಯೇನೋ
maadalillavendu,ಮಾಡಲಿಲ್ಲವೆಂದು
neraveridyante,ನೆರವೇರಿದ್ಯಂತೆ
kaaryagatavaaga,ಕಾರ್ಯಗತವಾಗ
rasidi,ರಸೀದಿ
nirdhaavaagalide,ನಿರ್ಧಾವಾಗಲಿದೆ
manisikondiddaare,ಮನಿಸಿಕೊಂಡಿದ್ದಾರೆ
carolgalannu,ಕ್ಯಾರೊಲ್ಗಳನ್ನು
pragatiparavagideye,ಪ್ರಗತಿಪರವಾಗಿದೆಯೇ
ddhati,ದ್ಧತಿ
curtin,ಕರ್ಟಿನ್
shikpakhatir,ಶಿಕ್ಪಾಖಾತಿರ್
gymnastru,ಜಿಮ್ನಾಸ್ಟ್ರು
vaidikatvave,ವೈದಿಕತ್ವವೇ
ficock,ಫಿಕಾಕ್
haravariyalli,ಹರವರಿಯಲ್ಲಿ
parinaamaviruttade,ಪರಿಣಾಮವಿರುತ್ತದೆ
aacharasuvudu,ಆಚರಸುವುದು
prakashasvaroopanaada,ಪ್ರಕಾಶಸ್ವರೂಪನಾದ
varnadravyagalannoo,ವರ್ಣದ್ರವ್ಯಗಳನ್ನೂ
prashamshaarhavaagide,ಪ್ರಶಂಶಾರ್ಹವಾಗಿದೆ
vaidyarillallade,ವೈದ್ಯರಿಲ್ಲಲ್ಲದೆ
prapullateyinda,ಪ್ರಪುಲ್ಲತೆಯಿಂದ
stadigalannu,ಸ್ಟಡಿಗಳನ್ನು
ilisoru,ಇಳಿಸೋರು
keduttiddarinda,ಕೆಡುತ್ತಿದ್ದರಿಂದ
labhisuttave,ಲಭಿಸುತ್ತವೆ
avyavahaaradalliyu,ಅವ್ಯವಹಾರದಲ್ಲಿಯೂ
horahodavara,ಹೊರಹೋದವರ
sahitamaada,ಸಹಿತಮಾದ
tapered,ಟೇಪರ್ಡ್
nidivaro,ನೀಡಿವರೋ
madhyalayadalli,ಮಧ್ಯಲಯದಲ್ಲಿ
randhrakoreyuva,ರಂಧ್ರಕೊರೆಯುವ
ekatragolisaballa,ಏಕಾತ್ರಗೊಳಿಸಬಲ್ಲ
partu,ಪಾರ್ಟು
natisuttiruvadu,ನಟಿಸುತ್ತಿರುವದು
valliyur,ವಳ್ಳಿಯೂರ್
inthaddide,ಇಂಥದ್ದಿದೆ
bandhitana,ಬಂಧಿತನ
aatithyavillade,ಆತಿಥ್ಯವಿಲ್ಲದೆ
aramaneyagidda,ಅರಮನೆಯಾಗಿದ್ದ
taradalliruva,ತರದಲ್ಲಿರುವ
sadariyavarige,ಸದರಿಯವರಿಗೆ
srujisaballadu,ಸೃಜಿಸಬಲ್ಲದು
aravattarada,ಅರವತ್ತರದ
maleshyaadondige,ಮಲೇಶ್ಯಾದೊಂದಿಗೆ
shitagondu,ಶೀತಗೊಂಡು
bhavaiah,ಭಾವಯ್ಯ
hostilajjiyannu,ಹೊಸ್ತಿಲಜ್ಜಿಯನ್ನು
kittogeyali,ಕಿತ್ತೊಗೆಯಲಿ
gamanisuttiddene,ಗಮನಿಸುತ್ತಿದ್ದೇನೆ
siddaprabhu,ಸಿದ್ದಪ್ರಭು
heggadaala,ಹೆಗ್ಗಡಾಳ
mantradandadante,ಮಂತ್ರದಂಡದಂತೆ
dooruga,ದೂರುಗ
kaaranareno,ಕಾರಣರೇನೋ
virpudanaaroo,ವಿರ್ಪುದನಾರೂ
borussia,ಬೊರುಸ್ಸಿಯಾ
jivisiralu,ಜೀವಿಸಿರಲು
nammejamanaru,ನಮ್ಮೆಜಮಾನರು
niiduteene,ನೀಡುತೇನೆ
tatvamariyatarama,ತತ್ವಮರಿಯತರಮ
praakaaraviruva,ಪ್ರಾಕಾರವಿರುವ
mathon,ಮ್ಯಾಥನ್
kaliyum,ಕಲಿಯುಂ
apakalpanegalive,ಅಪಕಲ್ಪನೆಗಳಿವೆ
gadegalinda,ಗದೆಗಳಿಂದ
tegevuta,ತೆಗೆವುತ
maharshiyaru,ಮಹರ್ಷಿಯರು
bhasavaguttiralilla,ಭಾಸವಾಗುತ್ತಿರಲಿಲ್ಲ
surannashte,ಸೂರನ್ನಷ್ಟೇ
kayutta,ಕಾಯುತ್ತಾ
grahanavadaga,ಗ್ರಹಣವಾದಾಗ
nematodes,ನೆಮಾಟೋಡ್ಸ್
deenadalitaru,ದೀನದಲಿತರು
horizantedalli,ಹೊರಿಜಾಂಟೆದಲ್ಲಿ
apartumentugalalli,ಅಪಾರ್ಟುಮೆಂಟುಗಳಲ್ಲಿ
gocharisirabeda,ಗೋಚರಿಸಿರಬೇಡ
pithaatyaaga,ಪೀಠಾತ್ಯಾಗ
sanghamadi,ಸಂಘಮಾಡಿ
viksakaru,ವೀಕ್ಷಕರು
naukararage,ನೌಕರರಗೆ
cbyannu,ಸಿಬಿಯನ್ನು
burutarada,ಬುರುತರದ
nanasaagisive,ನನಸಾಗಿಸಿವೆ
bhadraadadalli,ಭದ್ರಾದದಲ್ಲಿ
ramanagarajille,ರಾಮನಗರಜಿಲ್ಲೆ
tottiyil,ತೊಟ್ಟಿಯಿಲ್
nannindenannoo,ನನ್ನಿಂದೇನನ್ನೂ
sabheyallimanavi,ಸಭೆಯಲ್ಲಿಮನವಿ
uurigomme,ಊರಿಗೊಮ್ಮೆ
namakavastheyagi,ನಾಮಕಾವಸ್ಥೆಯಾಗಿ
tirthaabhimaani,ತೀರ್ಥಾಭಿಮಾನಿ
kunduruva,ಕುಂಡುರುವ
payanisabekadare,ಪಯಣಿಸಬೇಕಾದರೆ
shankisaloo,ಶಂಕಿಸಲೂ
doddonu,ದೊಡ್ಡೋನು
himmeladavarinda,ಹಿಮ್ಮೇಳದವರಿಂದ
kelya,ಕೆಲ್ಯಾ
datapro,ಡಾಟಾಪ್ರೋ
gaalisu,ಗಾಳಿಸು
hanasangrahisalu,ಹಣಸಂಗ್ರಹಿಸಲು
machkondu,ಮಚ್ಕೊಂಡು
uhisuvavara,ಊಹಿಸುವವರ
guttala,ಗುಟ್ಟಲಾ
hiditadalliddaru,ಹಿಡಿತದಲ್ಲಿದ್ದರು
tatasthagolisuvudilla,ತಟಸ್ಥಗೊಳಿಸುವುದಿಲ್ಲ
sankirnavaguttive,ಸಂಕೀರ್ಣವಾಗುತ್ತಿವೆ
turtusthitigintaloo,ತುರ್ತುಸ್ಥಿತಿಗಿಂತಲೂ
neegata,ನೀಗಟ
arakshateya,ಅರಕ್ಷತೆಯ
katige,ಕತಿಗೆ
kadiyuvenu,ಕಡಿಯುವೆನು
oggisabeke,ಒಗ್ಗಿಸಬೇಕೆ
akkareyaagi,ಅಕ್ಕರೆಯಾಗಿ
mexifin,ಮೆಕ್ಸಿಫಿನ್
vidyaabaladinda,ವಿದ್ಯಾಬಲದಿಂದ
jetliyolage,ಜೇಟ್ಲಿಯೊಳಗೆ
bareyalagutthade,ಬರೆಯಲಾಗುತ್ತದೆ
georkhand,ಜಾರ್ಖಂಡ್
kakkatayit,ಕಕ್ಕಟಾಯಿತ್
vivekigalige,ವಿವೇಕಿಗಳಿಗೆ
kangessannu,ಕಾಂಗೆಸ್ಸನ್ನು
ninttaru,ನಿಂತ್ತರು
baralisalu,ಬರಲಿಸಲು
nenapisuvantahudu,ನೆನಪಿಸುವಂತಹುದು
bhasmavaadaroo,ಭಸ್ಮವಾದರೂ
thiruvallavar,ತಿರುವಳ್ಳವರ್
belsomavannu,ಬೆಲ್ಸೊಮವನ್ನು
pretaadi,ಪ್ರೇತಾದಿ
viparitaviddu,ವಿಪರೀತವಿದ್ದು
suraraga,ಸುರರಾಗ
aamade,ಆಮದೆ
talupisuttaaremba,ತಲುಪಿಸುತ್ತಾರೆಂಬ
mannumaadalaagidda,ಮಣ್ಣುಮಾಡಲಾಗಿದ್ದ
bhoodrushyagalante,ಭೂದೃಶ್ಯಗಳಂತೆ
vagyuddhakke,ವಾಗ್ಯುದ್ಧಕ್ಕೆ
haadinalliye,ಹಾಡಿನಲ್ಲಿಯೇ
devamacchi,ದೇವಮಚ್ಚಿ
tilakah,ತಿಲಕಃ
rekhegalanteye,ರೇಖೆಗಳಂತೆಯೇ
secretara,ಸೆಕ್ರೆಟರ
allaadisutta,ಅಲ್ಲಾಡಿಸುತ್ತ
hanedukonda,ಹಣೆದುಕೊಂಡ
kelasamaaduttiruva,ಕೆಲಸಮಾಡುತ್ತಿರುವ
hechchuttitu,ಹೆಚ್ಚುತ್ತಿತು
kashtapattiddoo,ಕಷ್ಟಪಟ್ಟಿದ್ದೂ
rachegala,ರಚೆಗಳ
penzac,ಪೆನ್ಜಾಕ್
anjangiri,ಅಂಜನಗಿರಿ
veeraamada,ವೀರಾಮದ
kodigal,ಕೋಡಿಗಲ್
sushikshitavaada,ಸುಶಿಕ್ಷಿತವಾದ
hulasuru,ಹುಲಸೂರು
roddaamnalli,ರೊದ್ದಾಂನಲ್ಲಿ
aarambhisibittitu,ಆರಂಭಿಸಿಬಿಟ್ಟಿತು
